Symbol,Short Name,"Close (D)
[Trade Date] 2022-02-09
[Price Type] Yield",FULL,"Closing Price (Net)
[Trade Date] 2022-02-09","Estimated Clean Price (SHCH)
[Date] 2022-02-09","Estimated Yield (SHCH)
[Date] 2022-02-09","Estimated Dirty Price (SHCH)
[Date] 2022-02-09","Estimated Yield (CSI)
[Date] 2022-02-09
[Credibility] Recommended","Estimated Clean Price (CSI)
[Date] 2022-02-09
[Credibility] Recommended","Estimated Dirty Price (CSI)
[Date] 2022-02-09
[Credibility] Recommended",Dated Date,"Remaining Maturity (Year)
[Date] Most Recent
[Unit] Yearly",Initial Face Value,"Bond Latest Face Value
[Trade Date] Last Closing Day",Latest Bond Rating,Maturity Date,Coupon Type,Interest Accrual Method,Coupon Description,Coupon Frequency,COUPON_DATE,"Bond Term (Year)
[Unit] Yearly",Maturities (Text),Interest Reference,Coupon Date Description,"Bond Term (Year)
[Unit] Yearly","Issue Amount
[Unit] (100M)"
152136.SH,WUZHOU CITY CONSTRUCTION INVESTMENT DEVELOPMENT 7.90% B290326,7.6349,107.7477,100.8,103.9446,6.6966,110.8923,,,,3/26/2019,7.1233,100,100,AAA,3/26/2029,Fixed Interest Rate,Simple interest,7.90%,1,3月26日,10,6.9058,A/365,"March 26, March 26, payment, holiday",10,4.5
166022.SH,20 Beijing 01,7.8872,100.4545,100,101.4158,7.4083,101.8704,,,,1/20/2020,4.9452,100,100,AAA,1/20/2027,Fixed Interest Rate,Simple interest,7.90%,1,1月20日,7,5.5048,A/365F,"Pay interest on January 20 every year, and holidays are postponed",7,6
152336.SH,ANLU CITY CONSTRUCTION DEVELOPMENT INVESTMENT 7.8% B261128,7.7715,101.5814,100,103.0092,6.546,104.5906,,,,11/28/2019,4.8,100,100,AAA,11/28/2026,Fixed Interest Rate,Simple interest,7.80%,1,11月28日,7,5.0044,A/365,"November 28th, payment, holiday",7,1.7
152162.SH,XINFENG CITY CONSTRUCTION INVESTMENT DEVELOPMENT 7.8% B260416,7.7654,106.411,100,102.4078,6.5255,108.8188,,,,4/16/2019,4.1808,100,100,AAA,4/16/2026,Fixed Interest Rate,Simple interest,7.80%,1,4月16日,7,5.0044,A/365,"April 16, 16, payment, holiday",7,7
152155.SH,DINGNAN CITY CONSTRUCTION INVESTMENT GROUP 7.8% B260408,7.7673,106.5819,100,102.69,6.3708,109.2719,,,,4/8/2019,4.1589,100,100,AAA,4/8/2026,Fixed Interest Rate,Simple interest,7.80%,1,4月8日,7,5.0044,A/365,"Pay interest on April 8 every year, and postpone holidays",7,5.5
152117.SH,TAIXING CHENGXING STATE-OWNED ASSET MANAGEMENT INVESTMENT 7.8% B260305,7.7778,107.3085,100,103.2639,6.0158,110.5724,,,,3/5/2019,4.0658,100,100,AA+,3/5/2026,Fixed Interest Rate,Simple interest,7.80%,1,3月5日,7,5.0044,A/365,"Pay interest on March 5 every year, and postpone holidays",7,4
152116.SH,CHONGQING SANXIA INDUSTRIAL INVESTMENT 7.8% B260301,7.7793,107.394,100,103.2407,6.0204,110.6347,,,,3/1/2019,4.0548,100,100,AA+,3/1/2026,Fixed Interest Rate,Simple interest,7.80%,1,3月1日,7,5.0044,A/365,"Interest is paid on March 1 each year, and holidays are postponed",7,1.49
152892.SH,CHONGQING TONGRUI AGRICULTURAL DEVELOPMENT 7.7% B280526,7.6771,105.4849,100,103.2902,6.7638,108.7751,,,,5/26/2021,6.2904,100,100,AA+,5/26/2028,Fixed Interest Rate,Simple interest,7.70%,1,5月26日,7,5.0033,A/365,"Pay interest on May 26 each year, and holidays are postponed",7,3
152172.SH,JITOU 7.69% B260422,7.655,106.1941,100,101.8257,6.7209,108.0198,,,,4/22/2019,4.1973,100,100,AAA,4/22/2026,Fixed Interest Rate,Simple interest,7.69%,1,4月22日,7,5.0044,A/365,"Interest is paid on April 22 every year, holidays are postponed",7,8
152251.SH,GUIZHOU GOLDEN PHOENIX INDUSTRIAL INVESTMENT 7.6% B260819,10.4375,97.7138,94.07,101.5984,6.8419,105.2423,,,,8/19/2019,4.5233,100,100,AAA,8/19/2026,Fixed Interest Rate,Simple interest,7.60%,1,8月19日,7,5.0044,A/365,The interest payment will be postponed on August 19 every year,7,10
196896.SH,21 Zhiguang 03,7.5355,103.6438,100,100.942,6.8813,104.5859,,,,8/19/2021,1.5233,100,100,AA+,8/19/2023,Fixed Interest Rate,Simple interest,7.60%,1,8月19日,2,2,A/365F,The interest payment will be postponed on August 19 every year,2,2.38
152217.SH,QINGZHOU HONGYUAN STATE-OWNED ASSETS 7.6% B270617,7.5624,104.9556,100,101.1153,7.0797,106.0709,,,,6/17/2019,5.3507,100,100,AA+,6/17/2027,Fixed Interest Rate,Simple interest,7.60%,1,6月17日,8,5.3044,A/365,"Pay interest on June 17 each year, and holidays are postponed",8,12
152182.SH,TAIXING CHENGXING STATE-OWNED ASSET MANAGEMENT INVESTMENT 7.6% B260424,7.5653,106.08,100,103.0367,6.0279,109.1167,,,,4/24/2019,4.2027,100,100,AA+,4/24/2026,Fixed Interest Rate,Simple interest,7.60%,1,4月24日,7,5.0044,A/365,"Pay interest on April 24 every year, and postpone holidays",7,4
152160.SH,TAIXING CHENGXING STATE-OWNED ASSET MANAGEMENT INVESTMENT 7.60% B260404,7.5698,106.4964,100,102.9817,6.0224,109.4781,,,,4/4/2019,4.1479,100,100,AA+,4/4/2026,Fixed Interest Rate,Simple interest,7.60%,1,4月4日,7,5.0044,A/365,The interest payment will be postponed on April 4 every year,7,4
152111.SH,NT 7.6000% B260227,7.5808,107.246,100,101.3999,6.8144,108.6459,,,,2/27/2019,4.0493,100,100,AAA,2/27/2026,Fixed Interest Rate,Simple interest,7.60%,1,2月27日,7,5.0038,A/365,"Pay interest on February 27 every year, and postpone holidays",7,5
185167.SH,21 Tiandi I,7.4812,100.863,100,100.5786,7.26,101.4416,,,,12/30/2021,2.8877,100,100,AA+,12/30/2024,Fixed Interest Rate,Simple interest,7.50%,1,12月30日,3,3,A/365F,"Interest is paid on December 30 every year, holidays are postponed",3,9
177481.SH,JINTANG COUNTY XINYAO CONSTRUCTION INVESTMENT 7.5% B251228,7.4852,100.9041,100,101.4476,7.0524,102.3517,,,,12/28/2020,3.8822,100,100,AA+,12/28/2025,Fixed Interest Rate,Simple interest,7.50%,1,12月28日,5,5,A/365F,"Pay interest on December 28 every year, and postpone holidays",5,12
152367.SH,19 Huashan debt,7.48,100.9247,100,101.3421,6.9469,102.2667,,,,12/27/2019,4.8795,100,100,AAA,12/27/2026,Fixed Interest Rate,Simple interest,7.50%,1,12月27日,7,5.0044,A/365,"Pay interest on December 27 every year, and holidays are postponed",7,6
162594.SH,19 Qushui 01,7.4034,100.9863,100,101.7205,5.3736,102.7068,,,,12/24/2019,0.8712,100,100,AA+,12/24/2022,Fixed Interest Rate,Simple interest,7.50%,1,12月24日,3,3,A/365F,"Pay interest on December 24 every year, and postpone holidays",3,4
152374.SH,YUEYANG HUILIN INVESTMENT AND DEVELOPMENT 7.5% B261223,7.4791,101.0068,100,102.7798,6.3755,103.7867,,,,12/23/2019,4.8685,100,100,AAA,12/23/2026,Fixed Interest Rate,Simple interest,7.50%,1,12月23日,7,5.0044,A/365,The interest payment holiday is postponed on December 23 every year,7,7
177398.SH,MAITREYA INDUSTRIAL PARK INVESTMENT DEVELOPMENT 7.5% B231221,7.469,101.0479,100,102.0548,6.2794,103.1027,,,,12/21/2020,1.863,100,100,AA+,12/21/2023,Fixed Interest Rate,Simple interest,7.50%,1,12月21日,3,3,A/365F,The interest payment will be postponed on December 21 every year,3,9
152346.SH,19 Xintiandi,7.4751,101.3562,100,102.8155,6.3414,104.1717,,,,12/6/2019,4.8219,100,100,AA+,12/6/2026,Fixed Interest Rate,Simple interest,7.50%,1,12月6日,7,5.0044,A/365,"Pay interest on December 6 every year, and holidays are postponed",7,8
152660.SH,LOUHAIQING TOURISM DEVELOPMENT INVESTMENT 7.50% B271124,7.4792,101.6027,100,102.0647,6.8397,103.6674,,,,11/24/2020,5.789,100,100,AA+,11/24/2027,Fixed Interest Rate,Simple interest,7.50%,1,11月24日,7,5.0022,A/365,"Pay interest on November 24 every year, and holidays are postponed",7,10
167784.SH,XIANGTAN GAOXIN GROUP 7.5% B251106,7.4771,101.9726,100,96.8288,8.5069,98.8014,,,,11/6/2020,3.7397,100,100,AA+,11/6/2025,Fixed Interest Rate,Simple interest,7.50%,1,11月6日,5,5,A/365F,"Pay interest on November 6 every year, and postpone holidays",5,5
152316.SH,19Xingyan 01,10.0304,96.3753,94.3,100.3392,7.332,102.4145,,,,11/1/2019,4.726,100,100,AAA,11/1/2026,Fixed Interest Rate,Simple interest,7.50%,1,11月1日,7,5.0044,A/365,The interest payment will be postponed on November 1 every year,7,7
184093.SH,21 Ping Guocheng Investment Bonds,7.4802,102.1575,100,101.9009,6.9932,104.0584,,,,10/28/2021,6.7151,100,100,AAA,10/28/2028,Fixed Interest Rate,Simple interest,7.50%,1,10月28日,7,5.0033,A/365,"Pay interest on October 28 every year, and postpone holidays",7,5
152296.SH,19 eldest son 01,7.466,102.363,100,101.5961,6.7916,103.9592,,,,10/18/2019,4.6877,100,100,AAA,10/18/2026,Fixed Interest Rate,Simple interest,7.50%,1,10月18日,7,5.0044,A/365,"Pay interest on October 18 each year, and holidays are postponed",7,3
167787.SH,LINYI ZHENPING NEW COUNTRYSIDE CONSTRUCTION 7.5% B230925,7.4436,102.8356,100,100.6589,7.0159,103.4945,,,,9/25/2020,1.6247,100,100,AA+,9/25/2023,Fixed Interest Rate,Simple interest,7.50%,1,9月25日,3,3,A/365F,"Pay interest on September 25 each year, and holidays are postponed",3,4.65
152556.SH,KAIYUAN XINGYUAN DEVELOPMENT INVESTMENT GROUP 7.5% B270922,7.4721,102.8973,100,102.2431,6.7492,105.1403,,,,9/22/2020,5.6164,100,100,AA+,9/22/2027,Fixed Interest Rate,Simple interest,7.50%,1,9月22日,7,5.0022,A/365,The interest payment will be postponed on September 22 every year,7,3
167728.SH,QUJING QILIN DISTRICT URBAN CONSTRUCTION INVESTMENT AND DEVELOPMENT 7.5% B230921,7.4427,102.9178,100,100.054,7.4198,102.9718,,,,9/21/2020,1.6137,100,100,AA+,9/21/2023,Fixed Interest Rate,Simple interest,7.50%,1,9月21日,3,3,A/365F,The interest payment holiday is postponed on September 21 every year,3,5
152284.SH,19 big debts,7.4622,102.9384,100,101.6692,6.7383,104.6076,,,,9/20/2019,4.611,100,100,AAA,9/20/2026,Fixed Interest Rate,Simple interest,7.50%,1,9月20日,7,5.0044,A/365,"Pay interest on September 20 each year, and postpone holidays",7,8.5
152282.SH,19 Tong Rui 01,7.462,102.9795,100,101.7633,6.6959,104.7428,,,,9/18/2019,4.6055,100,100,AAA,9/18/2026,Fixed Interest Rate,Simple interest,7.50%,1,9月18日,7,5.0044,A/365,"Pay interest on September 18 each year, and holidays are postponed",7,5
152279.SH,19TaoYuan County 01,7.4613,103.1233,100,100.6229,7.1921,103.7461,,,,9/11/2019,4.5863,100,100,AAA,9/11/2026,Fixed Interest Rate,Simple interest,7.50%,1,9月11日,7,5.0044,A/365,"Pay interest on September 11 every year, and holidays are postponed",7,4
167215.SH,ZUNYI CITY STATE-OWNED CAPITAL OPERATION 7.5% B230716,7.434,104.2945,100,101.6779,6.1941,105.9725,,,,7/16/2020,1.4301,100,100,AA+,7/16/2023,Fixed Interest Rate,Simple interest,7.50%,1,7月16日,3,3,A/365F,"Pay interest on July 16 each year, and holidays are postponed",3,10
167219.SH,LINYI ZHENPING NEW COUNTRYSIDE CONSTRUCTION 7.5% B230714,7.4339,104.3356,100,100.9945,6.6984,105.3301,,,,7/14/2020,1.4247,100,100,AA+,7/14/2023,Fixed Interest Rate,Simple interest,7.50%,1,7月14日,3,3,A/365F,The interest payment holiday is extended on July 14 every year,3,2.5
151829.SH,19 Xinpu 02,7.1386,104.3767,100,99.9314,7.3481,104.3081,,,,7/12/2019,0.4192,100,100,AA+,7/12/2022,Fixed Interest Rate,Simple interest,7.50%,1,7月12日,3,3,A/365F,"Interest shall be paid on July 12 every year, and holidays shall be postponed accordingly",3,1
152232.SH,ZHONGXIANG CITY CONSTRUCTION INVESTMENT COMPANY 7.50% B260705,7.4587,104.5205,100,101.9371,6.5509,106.4577,,,,7/5/2019,4.4,100,100,AA+,7/5/2026,Fixed Interest Rate,Simple interest,7.50%,1,7月5日,7,5.0044,A/365,"Pay interest on July 5 every year, and holidays are postponed",7,6
152493.SH,GUANGXI TIANDONG LONGYUAN INVESTMENT 7.50% B270604,7.4756,105.1575,100,101.1611,7.1279,106.3187,,,,6/4/2020,5.3151,100,100,AAA,6/4/2027,Fixed Interest Rate,Simple interest,7.50%,1,6月4日,7,5.6025,A/365,The interest payment will be postponed on June 4 every year,7,6
152206.SH,GUANG'AN XINHONG INVESTMENT HOLDING 7.50% B260603,7.4605,105.1781,100,100.7972,7.0755,105.9753,,,,6/3/2019,4.3123,100,100,AA+,6/3/2026,Fixed Interest Rate,Simple interest,7.50%,1,6月3日,7,5.0044,A/365,"June 3, 3, payment, payment, holiday",7,4
152194.SH,ANSHAN WANGWANG INVESTMENT DEVELOPMENT AND CONSTRUCTION 7.5% B260506,13.7401,94.8534,89.1,102.3806,6.2729,108.1341,,,,5/6/2019,4.2356,100,100,AA+,5/6/2026,Fixed Interest Rate,Simple interest,7.50%,1,5月6日,7,5.0044,A/365,The interest payment holiday is postponed on May 6 every year,7,5
152198.SH,ANYUE COUNTY XING'AN CITY CONSTRUCTION INVESTMENT AND DEVELOPMENT 7.5% B260506,13.1661,95.7534,90,98.6705,8.17,104.4239,,,,5/6/2019,4.2356,100,100,AAA,5/6/2026,Fixed Interest Rate,Simple interest,7.50%,1,5月6日,7,5.0044,A/365,The interest payment holiday is postponed on May 6 every year,7,7.6
166718.SH,LINYI ZHENPING NEW COUNTRYSIDE CONSTRUCTION 7.5% B230428,7.4411,105.9178,100,100.9702,6.6046,106.888,,,,4/28/2020,1.2137,100,100,AA+,4/28/2023,Fixed Interest Rate,Simple interest,7.50%,1,4月28日,3,3,A/365F,The annual interest payment holiday will be postponed on April 28th,3,2.85
152183.SH,LIJIN COUNTY URBAN INVESTMENT DEVELOPMENT 7.50% B260426,7.4658,105.9589,100,102.849,6.0274,108.8079,,,,4/26/2019,4.2082,100,100,AA+,4/26/2026,Fixed Interest Rate,Simple interest,7.50%,1,4月26日,7,5.0044,A/365,The interest payment will be postponed on April 26 every year,7,6
152187.SH,WUXUE CITY CONSTRUCTION INVESTMENT DEVELOPMENT 7.50% B260412,7.4686,106.2466,100,102.618,6.1222,108.8646,,,,4/12/2019,4.1699,100,100,AAA,4/12/2026,Fixed Interest Rate,Simple interest,7.50%,1,4月12日,7,5.0044,A/365,"Pay interest on April 12 every year, and postpone holidays",7,10.8
152168.SH,LETING URBAN CONSTRUCTION INVESTMENT 7.50% B260411,6.9164,107.3171,101.05,99.4979,7.7486,105.7651,,,,4/11/2019,4.1671,100,100,AAA,4/11/2026,Fixed Interest Rate,Simple interest,7.50%,1,4月11日,7,5.0044,A/365,"Pay interest on April 11 every year, and holidays are postponed",7,10
152175.SH,YUTAI XINDA ECONOMIC DEVELOPMENT INVESTMENT 7.5% B260410,12.7418,97.2577,90.97,96.0145,9.6907,102.3022,,,,4/10/2019,4.1644,100,100,AAA,4/10/2026,Fixed Interest Rate,Simple interest,7.50%,1,4月10日,7,5.0044,A/365,"Pay interest on April 10 every year, and postpone holidays",7,10
152159.SH,TANCHENG CITY STATE-OWNED ASSETS OPERATION 7.50% B260409,7.4693,106.3082,100,102.4149,6.2212,108.7231,,,,4/9/2019,4.1616,100,100,AAA,4/9/2026,Fixed Interest Rate,Simple interest,7.50%,1,4月9日,7,5.0044,A/365,The interest payment will be postponed on April 9 every year,7,5
152148.SH,HUNAN CHUZHISHENG HOLDING INDUSTRIAL GROUP 7.50% B260327,7.4725,106.5753,100,102.008,6.4155,108.5833,,,,3/27/2019,4.126,100,100,AAA,3/27/2026,Fixed Interest Rate,Simple interest,7.50%,1,3月27日,7,5.0044,A/365,"Pay interest on March 27 every year, and holidays are postponed",7,5.4
152128.SH,JINXIANG COUNTY URBAN CONSTRUCTION INVESTMENT 7.5% B260320,7.4745,106.7192,100,101.2197,6.8262,107.9389,,,,3/20/2019,4.1068,100,100,AA+,3/20/2026,Fixed Interest Rate,Simple interest,7.50%,1,3月20日,7,5.0044,A/365,"Pay interest on March 20 every year, and postpone holidays",7,7
139417.SH,QINGZHEN CITY CONSTRUCTION INVESTMENT 7.50% B260318,7.4751,106.7603,100,101.9787,6.4213,108.739,,,,3/18/2019,4.1014,100,100,AA+,3/18/2026,Fixed Interest Rate,Simple interest,7.50%,1,3月18日,7,5.0044,A/365,"Pay interest on March 18 every year, and postpone holidays",7,10
152750.SH,KAIYUAN XINGYUAN DEVELOPMENT INVESTMENT GROUP 7.50% B280308,7.4883,106.9658,100,102.9393,6.636,109.9051,,,,3/8/2021,6.074,100,100,AA+,3/8/2028,Fixed Interest Rate,Simple interest,7.50%,1,3月8日,7,5.0033,A/365,The interest payment will be postponed on March 8 every year,7,3
152394.SH,20 production and investment,8.2977,98.411,98,100.9971,7.0994,101.4081,,,,1/21/2020,4.9479,100,100,AAA,1/21/2027,Fixed Interest Rate,Simple interest,7.50%,1,1月21日,7,5.0044,A/365,The interest payment holiday on January 21 every year is postponed,7,6.7
196115.SH,21 Hongta Bonds,7.4827,100.7397,100,100.4124,7.3278,101.1522,,,,1/5/2022,2.9041,100,100,AA+,1/5/2025,Fixed Interest Rate,Simple interest,7.50%,1,1月5日,3,3,A/365F,"Pay interest on January 5 every year, and holidays are postponed",3,2
152235.SH,19LongHai 02,7.4288,104.1545,100,104.6145,5.3419,108.7691,,,,7/22/2019,4.4466,100,100,AA+,7/22/2026,Fixed Interest Rate,Simple interest,7.47%,1,7月22日,7,5.0044,A/365,The interest payment holiday will be postponed every July 22,7,2.2
177878.SH,ZHAOTAI GROUP 7.47% B230203,7.4385,100.1433,100,99.7255,7.7601,99.8688,,,,2/3/2021,0.9836,100,100,AA+,2/3/2023,Fixed Interest Rate,Simple interest,7.47%,1,2月3日,2,2,A/365F,The interest payment holiday is postponed on February 3 every year,2,6.1
197817.SH,21 Jiating 04,7.3676,101.1556,100,100.1818,7.2708,101.3374,,,,12/15/2021,1.8466,100,100,AA+,12/15/2023,Fixed Interest Rate,Simple interest,7.40%,1,12月15日,2,2,A/365F,The interest payment will be postponed on December 15 every year,2,2
152223.SH,QUJING ECONOMIC AND TECHNOLOGICAL DEVELOPMENT ZONE CONSTRUCTION INVESTMENT GROUP 7.40% B260718,7.3595,104.1967,100,101.8627,6.4999,106.0594,,,,7/18/2019,4.4356,100,100,AA+,7/18/2026,Fixed Interest Rate,Simple interest,7.40%,1,7月18日,7,5.0044,A/365,"Pay interest on July 18 every year, and holidays are postponed",7,5
196347.SH,22 Anhan 01,7.3871,100.4055,100,100.3303,7.2662,100.7358,,,,1/21/2022,2.9479,100,100,AA+,1/21/2025,Fixed Interest Rate,Simple interest,7.40%,1,1月21日,3,3,A/365F,The interest payment holiday on January 21 every year is postponed,3,5
152361.SH,HUAIHUA CITY INDUSTRIAL INVESTMENT DEVELOPMENT 7.3% B261220,7.2793,101.04,100,101.5175,6.675,102.5575,,,,12/20/2019,4.8603,100,100,AA+,12/20/2026,Fixed Interest Rate,Simple interest,7.30%,1,12月20日,7,5.0044,A/365,"Pay interest on December 20 every year, and postpone holidays",7,5
197567.SH,21 Quxian County 01,7.2732,101.7,100,101.0871,6.838,102.7871,,,,11/17/2021,2.7699,100,100,AA+,11/17/2024,Fixed Interest Rate,Simple interest,7.30%,1,11月17日,3,3,A/365F,The interest payment holiday is postponed on November 17 every year,3,2
152245.SH,HUAIHUA CITY INDUSTRIAL INVESTMENT DEVELOPMENT 7.3% B260808,7.261,103.72,100,101.5285,6.5715,105.2485,,,,8/8/2019,4.4932,100,100,AAA,8/8/2026,Fixed Interest Rate,Simple interest,7.30%,1,8月8日,7,5.0044,A/365,"Pay interest on August 8 each year, and postpone holidays",7,5
152188.SH,JINING CITY METRO INVESTMENT AND DEVELOPMENT 7.3% B260506,7.2658,105.6,100,102.3219,6.1075,107.9219,,,,5/6/2019,4.2356,100,100,AA+,5/6/2026,Fixed Interest Rate,Simple interest,7.30%,1,5月6日,7,5.0044,A/365,The interest payment holiday is postponed on May 6 every year,7,4
152677.SH,20DaYu County debt,7.2325,101.2712,100,101.7201,6.7068,102.9913,,,,12/8/2020,5.8274,100,100,AAA,12/8/2027,Fixed Interest Rate,Simple interest,7.25%,1,12月8日,7,5.0022,A/365,"Pay interest on December 8 each year, and holidays are postponed",7,6.1
152352.SH,WEIFANG BINCHENG MUNICIPAL INV 7.2% B261219,7.1796,101.0455,100,99.5326,7.3789,100.5781,,,,12/19/2019,4.8575,100,100,AA+,12/19/2026,Fixed Interest Rate,Simple interest,7.20%,1,12月19日,7,5.0044,A/365,"Pay interest on December 19 each year, and holidays are postponed",7,5.2
162647.SH,19 flat god Y1,9.7598,101.3019,100,93.7099,15.6597,95.0118,,,,12/6/2019,0.8219,100,100,AAA,12/6/2022,Fixed Interest Rate,Simple interest,7.20%,1,12月6日,3,3+N,A/365F,"Pay interest on December 6 every year, and holidays are postponed",3,9.5
152312.SH,19 Liang Ping debt,7.1704,102.0121,100,101.7929,6.426,103.805,,,,10/31/2019,4.7233,100,100,AAA,10/31/2026,Fixed Interest Rate,Simple interest,7.20%,1,10月31日,7,5.0044,A/365,The interest payment on October 31 of each year will be postponed,7,8
152581.SH,XINGZI GROUP 7.2% B270929,7.1747,102.6433,100,101.8299,6.5907,104.4732,,,,9/29/2020,5.6356,100,100,AAA,9/29/2027,Fixed Interest Rate,Simple interest,7.20%,1,9月29日,7,5.0022,A/365,"Pay interest on September 29 every year, and holidays are postponed",7,4.2
152211.SH,JIANGXI WANNIAN STATE-OWNED RESOURCES INVESTMENT AND DEVELOPMENT 7.2% B260603,7.6693,103.961,98.99,101.9567,6.2182,106.9277,,,,6/3/2019,4.3123,100,100,AA+,6/3/2026,Fixed Interest Rate,Simple interest,7.20%,1,6月3日,7,5.0044,A/365,"June 3, 3, payment, payment, holiday",7,10
178531.SH,SHANDONG RECHENG RONGXIN DEVELOPMENT 7.2% B240514,7.1597,105.3655,100,98.0266,8.3647,103.3921,,,,5/14/2021,2.2575,100,100,AA+,5/14/2024,Fixed Interest Rate,Simple interest,7.20%,1,5月14日,3,2.6016,A/365F,"Pay interest on May 14 every year, and holidays are postponed",3,1
139421.SH,HEXIAN CITY CONSTRUCTION INVESTMENT 7.20% B260426,7.1682,105.7205,100,102.4454,5.9365,108.1659,,,,4/26/2019,4.2082,100,100,AAA,4/26/2026,Fixed Interest Rate,Simple interest,7.20%,1,4月26日,7,5.0044,A/365,The interest payment will be postponed on April 26 every year,7,5
152124.SH,YICHUN YUANZHOU STATE-OWNED ASSETS OPERATION 7.2000% B260308,7.1795,106.6871,100,102.2337,5.9819,108.9208,,,,3/8/2019,4.074,100,100,AAA,3/8/2026,Fixed Interest Rate,Simple interest,7.20%,1,3月8日,7,5.0044,A/365,The interest payment will be postponed on March 8 every year,7,8.5
197813.SH,21 Jiating 03,7.0698,101.1088,100,100.3524,6.8716,101.4612,,,,12/15/2021,1.8466,100,100,AA+,12/15/2023,Fixed Interest Rate,Simple interest,7.10%,1,12月15日,2,2,A/365F,The interest payment will be postponed on December 15 every year,2,2
152158.SH,MENGJIN COUNTY SHENGSHI CITY CONSTRUCTION INVESTMENT 7.06% B260411,7.032,105.8995,100,102.8497,5.5776,108.7492,,,,4/11/2019,4.1671,100,100,AA+,4/11/2026,Fixed Interest Rate,Simple interest,7.06%,1,4月11日,7,5.0044,A/365,"Pay interest on April 11 every year, and holidays are postponed",7,9
