Symbol,Short Name,"Close (D)
[Trade Date] Last Closing Day
[Price Type] Yield",FULL,"Closing Price (Net)
[Trade Date] Last Closing Day","Estimated Clean Price (SHCH)
[Date] Last Closing Day","Estimated Yield (SHCH)
[Date] Last Closing Day","Estimated Dirty Price (SHCH)
[Date] Last Closing Day","Estimated Yield (CSI)
[Date] Last Closing Day
[Credibility] Recommended","Estimated Clean Price (CSI)
[Date] Last Closing Day
[Credibility] Recommended","Estimated Dirty Price (CSI)
[Date] Last Closing Day
[Credibility] Recommended",Dated Date,"Remaining Maturity (Year)
[Date] Most Recent
[Unit] Yearly",Initial Face Value,Latest Bond Rating,Maturity Date,Coupon Type,Interest Accrual Method,Coupon Description,Coupon Frequency,COUPON_DATE,"Bond Term (Year)
[Unit] Yearly",Maturities (Text),Interest Reference,Coupon Date Description,"Bond Term (Year)
[Unit] Yearly","Issue Amount
[Unit] (100M)"
1380251.IB,MOR 5.1% B230814,2.4547,106.3453,103.8721,103.8729,2.4497,106.36,,,,8/14/2013,1.5123,100,AAA,8/14/2023,Fixed Interest Rate,Simple interest,5.10%,1,8月14日,10,10,ACT/ACT,The interest payment holiday will be postponed on August 14 every year,10,100
032100113.IB,LUQIAO PUBLIC INVESTMENT 4.65% B230721,2.3981,102.193,101.9892,101.0977,3.8675,101.3143,,,,1/22/2021,1.4466,100,,7/21/2023,Fixed Interest Rate,Simple interest,4.65%,1,1月22日,2.4932,2.4932,ACT/ACT,"January 22, 2022 January 22, 2023 July 21, 2023 Interest payment holiday postponed",2.4932,4
200009.IB,MOF 2.3600% B230702,2.12,101.7417,100.3192,100.439,2.0333,101.868,,,,7/2/2020,1.3945,100,,7/2/2023,Fixed Interest Rate,Simple interest,2.36%,1,7月2日,3,3,ACT/ACT,"Pay interest on July 2 every year, and holidays are postponed",3,"2,662.80"
210008.IB,MOF 2.57% B230520,2.1003,102.4321,100.5803,100.6832,2.0184,102.5421,,,,5/20/2021,1.2767,100,,5/20/2023,Fixed Interest Rate,Simple interest,2.57%,1,5月20日,2,2,ACT/ACT,"Interest payment on May 20 every year, holidays will be postponed",2,"2,934.50"
102000991.IB,CCCC FINANCIAL LEASING 3.6500% B230511,6.0011,102.9028,100.1828,100.2253,3.4533,102.9553,,,,5/11/2020,1.2521,100,AAA,5/11/2023,Fixed Interest Rate,Simple interest,3.65%,1,5月11日,3,3+N,ACT/ACT,"Pay interest on May 11 each year, and postpone holidays",3,10
200003.IB,MOF 2.2400% B230305,2.0697,102.2567,100.1763,100.2962,1.9559,102.3827,,,,3/5/2020,1.0685,100,,3/5/2023,Fixed Interest Rate,Simple interest,2.24%,1,3月5日,3,3,ACT/ACT,"Pay interest on March 5 every year, and postpone holidays",3,"2,080.00"
032000098.IB,PING AN LEASING 3.70% B230219,3.2859,103.9904,100.412,100.27,3.427,103.8585,,,,2/19/2020,1.0301,100,,2/19/2023,Fixed Interest Rate,Simple interest,3.70%,1,2月19日,3,3,ACT/ACT,"Pay interest on February 19 every year, and holidays are postponed",3,10
210302.IB,EXPORT-IMPORT BANK 2.7500% B230111,1.98,100.8978,100.6944,100.6658,2.0112,100.8768,,,,1/11/2021,0.9233,100,,1/11/2023,Fixed Interest Rate,Simple interest,2.75%,1,1月11日,2,2,ACT/ACT,"Interest is paid on January 11 every year, holidays are postponed",2,256
102000011.IB,JINNENG GROUP 4.3300% B230108,2.87,101.6524,101.2965,100.5294,3.7182,100.8971,,,,1/8/2020,0.9151,100,AAA,1/8/2023,Fixed Interest Rate,Simple interest,4.33%,1,1月8日,3,3,ACT/ACT,The interest payment holiday is postponed on January 8 every year,3,12
200018.IB,20 Interest-bearing government bonds 18,1.94,101.28,100.8064,100.8118,1.9335,101.2934,,,,12/10/2020,0.8356,100,,12/10/2022,Fixed Interest Rate,Simple interest,2.93%,1,12月10日,2,2,ACT/ACT,The interest payment will be postponed on December 10 every year,2,"3,451.60"
031759028.IB,HUNAN EXPRESSWAY INV 6.70% B221124,6.3108,103.6827,102.306,101.7474,4.3561,103.1425,,,,11/24/2017,0.7918,100,,11/24/2022,Fixed Interest Rate,Simple interest,6.70%,1,11月24日,5,5+N,ACT/ACT,"Pay interest on November 24 every year, and holidays are postponed",5,3
190308.IB,EXPORT-IMPORT BANK 3.23% B221104,1.9696,101.7476,100.9069,100.8909,1.9866,101.7404,,,,11/4/2019,0.737,100,,11/4/2022,Fixed Interest Rate,Simple interest,3.23%,1,11月4日,3,3,ACT/ACT,"Pay interest on November 4 every year, and postpone holidays",3,835.4
092018003.IB,ADBC 3.25% B220910,1.9631,102.0697,100.7341,100.7027,2.0103,102.0472,,,,9/10/2020,0.5863,100,,9/10/2022,Fixed Interest Rate,Simple interest,3.25%,1,9月10日,2,2,ACT/ACT,The interest payment holiday is postponed on September 10 every year,2,496
200011.IB,MOF 2.64% B220813,1.8999,101.6486,100.3611,100.399,1.8261,101.6937,,,,8/13/2020,0.5096,100,,8/13/2022,Fixed Interest Rate,Simple interest,2.64%,1,8月13日,2,2,ACT/ACT,"Pay interest on August 13 every year, and postpone holidays",2,"2,952.60"
031900580.IB,FUJIAN MINBEI ECONOMIC AND DEVELOPMENT INVESTMENT 7.50% B220724,3.2115,105.9433,101.8748,101.597,3.7739,105.6861,,,,7/24/2019,0.4548,100,,7/24/2022,Fixed Interest Rate,Simple interest,7.50%,1,7月24日,3,3,ACT/ACT,"Pay interest on July 24 every year, and holidays are postponed",3,10
190407.IB,ADBC 3.1200% B220717,1.9245,102.2541,100.5018,100.4934,1.9434,102.2543,,,,7/17/2019,0.4356,100,,7/17/2022,Fixed Interest Rate,Simple interest,3.12%,1,7月17日,3,3,ACT/ACT,"Interest is paid on July 17 every year, holidays are postponed",3,"1,030.00"
170014.IB,MOF 3.47% B220713,1.6978,102.7198,100.7329,100.6919,1.7926,102.6883,,,,7/13/2017,0.4247,100,,7/13/2022,Fixed Interest Rate,Simple interest,3.47%,1,7月13日,5,5,ACT/ACT,The interest payment will be postponed on July 13 every year,5,"1,086.10"
101900671.IB,YANGZHOU ETDZ 4.6600% B220508,2.6039,103.9923,100.4813,100.3693,3.0276,103.893,,,,5/8/2019,0.2438,100,AA+,5/8/2022,Fixed Interest Rate,Simple interest,4.66%,1,5月8日,3,3,ACT/ACT,"Pay interest on May 8 each year, and holidays are postponed",3,5
150412.IB,ADBC 4.18% B220504,1.6946,103.7657,100.5706,100.5301,1.835,103.7367,,,,5/4/2015,0.2329,100,,5/4/2022,Fixed Interest Rate,Simple interest,4.18%,1,5月4日,7,7,ACT/ACT,The interest payment holiday is postponed on May 4 every year,7,860
170409.IB,ADBC 4.13% B220421,1.6498,103.7809,100.4769,100.4256,1.9013,103.7409,,,,4/21/2017,0.1973,100,,4/21/2022,Fixed Interest Rate,Simple interest,4.13%,1,4月21日,5,5,ACT/ACT,"Pay interest on April 21 every year, and holidays are postponed",5,885.2
150209.IB,CDB 4.25% B220413,1.6498,103.9377,100.4445,100.4207,1.7808,103.9255,,,,4/13/2015,0.1753,100,,4/13/2022,Fixed Interest Rate,Simple interest,4.25%,1,4月13日,7,7,ACT/ACT,"Pay interest on April 13 every year, and postpone holidays",7,670
200302.IB,EXPORT-IMPORT BANK 2.0500% B220407,1.7442,101.7623,100.0437,100.023,1.8726,101.7472,,,,4/7/2020,0.1589,100,,4/7/2022,Fixed Interest Rate,Simple interest,2.05%,1,4月7日,2,2,ACT/ACT,"Interest is paid on April 7 every year, and holidays are postponed",2,550
101900366.IB,HENAN AGRICULTURAL INVESTMENT GROUP 4.5900% B220403,2.8158,104.1481,100.2497,100.2575,2.7352,104.1685,,,,4/3/2019,0.1479,100,AA+,4/3/2022,Fixed Interest Rate,Simple interest,4.59%,1,4月3日,3,3,ACT/ACT,The interest payment will be postponed on April 3 every year,3,5
031900218.IB,YUHUA URBAN CONSTRUCTION INVESTMENT GROUP 5.00% B220315,2.2345,104.7691,100.2623,100.187,2.9132,104.7075,,,,3/15/2019,0.0959,100,,3/15/2022,Fixed Interest Rate,Simple interest,5.00%,1,3月15日,3,3,ACT/ACT,"Pay interest on March 15 every year, and postpone holidays",3,5
032000196.IB,HENAN ASSET MANAGEMENT 3.85% B220313,3.1642,103.5448,100.0534,100.0382,3.3106,103.5401,,,,3/13/2020,0.0904,100,,3/13/2022,Fixed Interest Rate,Simple interest,3.85%,1,3月13日,2,2,ACT/ACT,"Pay interest on March 13 every year, and postpone holidays",2,8
031900183.IB,NBHD 5.38% B220308,1.9978,105.213,100.2605,100.1897,2.7649,105.157,,,,3/8/2019,0.0767,100,,3/8/2022,Fixed Interest Rate,Simple interest,5.38%,1,3月8日,3,3,ACT/ACT,"Pay interest every year on March 08, and postpone holidays",3,8
101900203.IB,HENAN AGRICULTURAL INVESTMENT GROUP 4.3700% B220219,2.1961,104.2947,100.0684,100.0496,2.6135,104.2879,,,,2/19/2019,0.0301,100,AA+,2/19/2022,Fixed Interest Rate,Simple interest,4.37%,1,2月19日,3,3,ACT/ACT,"Pay interest on February 19 every year, and holidays are postponed",3,3
200002.IB,MOF 2.2000% B220213,1.703,102.1701,100.0063,100.0091,1.5036,102.179,,,,2/13/2020,0.0137,100,,2/13/2022,Fixed Interest Rate,Simple interest,2.20%,1,2月13日,2,2,ACT/ACT,"Pay interest on February 13 every year, and holidays are postponed",2,"2,481.80"
